actual,predicted
3.88,3.091614407857433
0.35,1.6350296290137623
0.12,1.2039180242187608
4.04,3.409648805847177
0.13,1.131486528173448
2.22,2.5607907265015113
3.61,2.312604651631851
2.33,2.8889399689111643
2.3,2.8353615559159495
2.69,3.8344483448057733
3.58,2.2730666348505064
1.74,1.3612399990402622
8.53,3.3923016231885645
3.55,2.2475337031258977
-0.2,0.2369261300999551
2.01,2.0719660026948166
2.32,2.9263429984091744
0.01,0.8811844795566094
2.28,2.7733898702462882
1.91,1.8018357307492558
6.56,2.253169961939656
-0.02,0.741878431971948
0.34,1.7317413137653754
0.39,1.7860226971948436
2.32,2.899123262913202
3.98,3.27371310564207
6.61,2.3970100061898285
1.17,3.774011351423348
3.43,1.925721517232115
7.04,3.4465629067158066
3.44,1.9151302395225582
0.34,1.6048111323225496
2.04,2.1674890474810073
1.99,2.0662227229786216
0.47,1.9917795581733901
4.25,3.9758958989351525
4.03,3.3509523977463704
1.96,1.8945680800667302
3.89,3.0521931903381194
1.75,1.4564262266812
0.16,1.266300409511117
-0.31,-0.0858074145621961
2.46,3.2634456076199596
0.61,2.334549391890787
-0.11,0.5185625192620572
-0.48,-0.4055823978335591
1.22,0.04878536252618082
0.78,2.689874365580792
3.7,2.6266879650300945
1.56,0.9607668257357288
0.15,1.2604278351931575
1.88,1.7746290337760515
2.49,3.311697959783059
0.05,1.0020584663214602
1.04,3.4482459071409624
3.66,2.4818282331026422
5.08,2.2973794187987657
-0.03,0.6678117419983478
-0.27,0.06870539550242971
5.74,3.931213811067642
3.72,2.6755770107774595
6.42,1.8546932461401329
0.21,1.3732345017031495
